			 			12252
MacDonald, Dettwiler and Associates Ltd., Richmond			 			1
Macalester College			 			1
Maccabi Health Organization, 27 Hamered Street, Tel-Aviv 68125, Israel			 			1
Machine Intelligence Laboratory, University of Cambridge, Cambridge, UK CB2 1PZ			University of Cambridge			1
Machine Intelligence Unit, Indian Statistical Institute Kolkata 700108, India			Intel			1
Machine Intelligence Unit, Indian Statistical Institute, Kolkata, India			Intel			1
Machine Learning Center, Faculty of Mathematics and Computer Science, Hebei University, Baoding 071002, China			 			1
Machine Learning Department, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213, USA. bryanba@cs.cmu.edu			Carnegie Mellon University			1
Machine Learning Department, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213, USA. christos@cs.cmu.edu			Carnegie Mellon University			1
Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA and Department of Automation, Tsinghua University, Beijing, China			Carnegie Mellon University			1
Machine Learning Department, Carnegie Mellon University, Pittsburgh, PA, USA			Carnegie Mellon University			1
Machine Learning Department, School of Computer Science, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA 15213, USA. christos.faloutsos@cs.cmu.edu			Carnegie Mellon University			1
Machine Learning Department, School of Computer Science, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA 15213, USA. jure.leskovec@cs.cmu.edu			Carnegie Mellon University			1
Machine Learning Group, ICTEAM Institute, Université Catholique de Louvain Place Sainte Barbe 2, B-1348 Louvain-la-Neuve, Belgium			Université Catholique de Louvain			1
Machine Learning Group, ICTEAM Institute, Université catholique de Louvain, Place Sainte Barbe 2, B-1348 Louvain-la-Neuve, Belgium			Université Catholique de Louvain			1
Machine Learning Lab, University of Freiburg, Germany			 			1
Machine Learning Lab, Universität Freiburg, Freiburg i. Br., Germany 79110			 			1
Machine Learning and Computational Biology Research Group, Max Planck Institutes Tübingen, Tübingen, Germany 72076			 			1
Machine Learning and Neural Networks Group, Dipartimento di Sistemi e Informatica, Università degli Studi di Firenze, Firenze, Italy 50139			 			1
Machine Vision Group, University of Oulu, Oulu, Finland and Faculty of Engineering and Physical Sciences, University of Surrey, Guildford, UK			University of Surrey			1
Macmillan Publishers			 			1
Macquarie University, Australia			 			1
Macquarie University, North Ryde and University of New South Wales, Sydney			University of New South Wales			1
Macquarie University, North Ryde, Australia			 			1
Macquarie University, Sydney, NSW and ICT Centre, CSIRO, Sydney, Australia			The University of Sydney			1
Madgeburg University, Madegeburg, Germany			 			1
Mae Fah Luang University, Muang			 			1
Maebashi Institute of Technology			 			1
Maebashi Institute of Technology, Maebashi			 			1
Maebashi Institute of Technology, Maebashi, Japan			 			1
Maebashi Institute of Technology, Maebashi-City, and Beijing University of Technology, Beijing			 			1
Magdeburg University, Magdeburg, Germany			 			1
Magian Design Studio, Wyndham Vale			 			1
Magma Design Automation, San Jose			 			1
Magnum Semiconductor, Milpitas, CA			 			1
Mahanakorn University of Technology			 			1
Mahasarakham University, Thailand			 			1
Makai Ocean Engineering, Inc.			 			1
Makerere University, Kampala, Uganda			 			1
Malmo University			 			1
Mamezou Co., Ltd.			 			1
Management Information Systems Department, Haifa University, Haifa, Israel			 			1
Management Science and Engineering Department, Stanford University, Stanford, CA			Stanford University			1
Management Science and Information Systems, University of Massachusetts Boston, Boston, MA			University of Massachusetts, Amherst			1
Manchester Business School			 			1
Manchester Business School in Manchester, U.K			 			1
Manchester Business School, University of Manchester, UK			The University of Manchester			1
Manchester University			 			1
Manchester University, Manchester, UK			The University of Manchester			1
Manchester University, Manchester, United Kingdom			The University of Manchester			1
Mando Central Research Center, Gyeonggi-do, Korea			 			1
Manipal Academy of Higher Education			 			1
Mannheim University, Mannheim			 			1
Manovega Pte. Ltd., Singapore, Singapore			 			1
Manufacturing Systems Research Laboratory, General Motors R&D Center, Warren, MI 48090, USA			 			1
Marcin.Kozik@tcs.uj.edu.pl			 			1
Marine Biological Association			 			1
Maritime Applied Physics Corporation, Baltimore, MD			 			1
Markus.Kirschmer@math.rwth-aachen.de			 			1
Marquette University College of Business Administration, Milwaukee, WI			 			1
Marquette University, Milwaukee			 			1
Marquette University, Milwaukee, WI			 			1
Marvell Semiconductor, Santa Clara			 			1
Masachusetts Institute of Technology, Cambridge			 			1
Masaryk University, Brno, Czech Republic. dohnal@fi.muni.cz			 			1
Masaryk University, Brno, Czech Republic. xbarton@fi.muni.cz			 			1
Masaryk University, Brno, Czech Republic. xsedmid@fi.muni.cz			 			1
Masaryk University, Brno, Czech Republic. zezula@fi.muni.cz			 			1
Massachusettes Institute of Technology, Cambridge, Massachusetts, USA			 			1
Massachusettes Institute of Technology, Camrbidge, MA, USA			 			1
Massachusetts General Hospital			 			1
Massachusetts General Hospital, Boston, MA, USA			 			1
Massachusetts Institute of Technology Decentralized Information Group and MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA and World Wide Web Consortium			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology Lincoln Laboratories, Lexington, MA and University of California at San Diego, La Jolla, CA			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology and Adobe Systems, Inc. and University of Washington			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology and Advanced Technology Labs, Adobe Systems Incorporated and University of Washington			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology and Nokia Research Center			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology and Sun Microsystems Laboratories			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology and Univ. of Pennsylvania			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology, Cambridge MA and University of California, San Diego, La Jolla, CA			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology, Cambridge, MA.			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology, Cambridge, USA 02139			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology, Cambridge,MA			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology, Canbridge, MA, USA			Massachusetts Institute of Technology			1
Massachusetts Institute of Technology, The Center for Biological and Computational Learning, Cambridge			Massachusetts Institute of Technology			1
Massachussets Institute of Technology, Cambridge			 			1
Massachussetts Institute of Technology			 			1
Massey University, Auckland, New Zealand			The University of Auckland			1
Massey University, Wellington, New Zealand			 			1
Materials Science Centre, Department of Mathematics and Natural Sciences, Rijksuniversiteit Groningen, Nijenborgh 4, 9747 AG Groningen, the Netherlands			 			1
Mathematical Image Analysis Group, Faculty of Mathematics and Computer Science, Saarland University, Saarbrücken, Germany 66041 and National Heart and Lung Institute, and Department of Comput ...			Saarland University			1
Mathematical Image Analysis Group, Faculty of Mathematics and Computer Science, Saarland University, Saarbrücken, Germany 66123			Saarland University			1
Mathematical Image Analysis Group, Saarland University, Saarbrücken, Germany 66041			Saarland University			1
Mathematical Institute of Beijing University, Beijing, China			 			1
Mathematical Institute, Leiden University, The Netherlands			Leiden University			1
Mathematical Institute, University of Goettingen, Goettingen, Germany			 			1
Mathematical Sciences Department, IBM Thomas J. Watson Research Center, Yorktown Heights, NY			IBM			1
Mathematical Sciences Research Center, Telcordia Technologies Inc., Morristown, NJ			 			1
Mathematical Sciences, Susquehanna University, Selinsgrove, USA 17870			 			1
Mathematics Department, Rutgers University			 			1
Mathematics Department, SUNY Buffalo State College, Buffalo, NY 14222, USA			 			1
Mathematics Department, UCLA, Los Angeles, USA			University of California, Los Angeles			1
Mathematics Department, University of California at Los Angeles, Los Angeles, CA			University of California, Los Angeles			1
Mathematics Department, Yale University, New Haven, CT			Yale University			1
Mathematics Institute, Leiden University, Leiden, The Netherlands			Leiden University			1
Mathematics and Computer Science Department, Grambling State University, Grambling, LA			 			1
Mathematics and Computer Science Departments, Hong Kong University of Science and Technology, Hong Kong and Department of Mathematics, University of California, Los Angeles			Hong Kong University of Science and Technology			1
Mathematics of Networks and Communications Department, Bell Laboratories, Alcatel-Lucent, Murray Hill, NJ			 			1
Mathematics of Networks and Communications Research Department, Alcatel-Lucent, Bell Laboratories, Murray Hill, NJ and Laboratory for Information and Decision Systems, Massachusetts Institute of T ...			 			1
Mathematics of Networks and Communications Research Department, Bell Labs, Alcatel-Lucent, Bell Laboratories, Murray Hill, NJ			 			1
Mathematisches Institut, Universität München, Germany			 			1
Max Planck Institut Informatik, Saarbrücken			 			1
Max Planck Institut fur Informatik, Saarbrücken, Germany			 			1
Max Planck Institute			 			1
Max Planck Institute for Biological Cybernetics and Korea University, Tübingen, Germany			University of Tübingen			1
Max Planck Institute for Biological Cybernetics, Tubingen, Germany			 			1
Max Planck Institute for Biological Cybernetics, Tübingen, Germany 72070			 			1
Max Planck Institute for Biological Cybernetics, Tübingen, Germany and Department of Engineering Science, University of Oxford, Oxford, UK			University of Oxford			1
Max Planck Institute for Biological Cybernetics, Tübingen, Germany and University of Oxford, Oxford, UK			University of Oxford			1
Max Planck Institute for Computer Science, Stuhlsatzenhausweg, Saarbrücken, Germany			 			1
Max Planck Institute for Human Cognitive and Brain Sciences			 			1
Max Planck Institute for Human Cognitive and Brain Sciences, Amalienstr. 33, 80799 Munich, Germany			 			1
Max Planck Institute for Informatics, Saabrücken, Germany			 			1
Max Planck Institute for Informatics, Saabrücken, Germany, Germany			 			1
Max Planck Institute for Informatics, Saarbrücken, Germany. neumann@mpi-inf.mpg.de			 			1
Max Planck Institute for Intelligent Systems, Tübingen, Germany			Intel			1
Max Planck Institute for Intelligent Systems, Tübingen, Germany 72076			Intel			1
Max Planck Institute for Software System, Germany			 			1
Max Planck Institute for Software Systems & University of California, Los Angeles, Kaiserslautern, Germany			University of California, Los Angeles			1
Max Planck Institute for Software Systems and Rice University			Rice University			1
Max Planck Institute for Software Systems, Germany			 			1
Max Planck Institute for Software Systems, München, Germany and Computer Laboratory, University of Cambridge, Cambridge, UK			University of Cambridge			1
Max Planck Institute for Software Systems, Networked Systems Research Group, Saarbruecken, Saarland, Germany			 			1
Max Planck Institute for Software Systems, Saarbrücken			 			1
Max Planck Institute für Informatik, Saarbrücken, Germany			 			1
Max Planck Institute of Biochemistry, Martinsried, Germany			 			1
Max Planck Institutes Tübingen, Tübingen, Germany			 			1
Max-Planck Institute Informatics, Saarbruecken, Germany			 			1
Max-Planck Institute for Biological Cybernetics, Germany			 			1
Max-Planck Institute for Informatics, Saabruecken, Germany			 			1
Max-Planck Institute for Software Systems, Kaiserslautern, Germany			 			1
Max-Planck-Center Saarbrücken, Saarbrücken, Germany 66123			 			1
Max-Planck-Institut fuer Informatik Saarbruecken, Germany			 			1
Max-Planck-Institut fur Informatik, Saarbrucken, Germany			 			1
Max-Planck-Institut für Informatik and EPFL			École Polytechnique Fédérale de Lausanne			1
Max-Planck-Institut für Informatik and Télécom ParisTech/CNRS-LTCI/Saarland University			Saarland University			1
Max-Planck-Institut für Informatik, Im Stadtwald, Saarbrücken, Germany			 			1
Max-Planck-Institute for Computer Science			 			1
Max-Planck-Institute für Informatik, Saarbrücken, Germany			 			1
Maxlinear, Inc., Carlsbad and Electrical Engineering Department, University of California, Los Angeles, CA			University of California, Los Angeles			1
Mayachitra Inc., Santa Barbara			 			1
Mayachitra, Santa Barbara, CA, USA			 			1
Mayfield Fund			 			1
Mayo Clinic, Rochester, MN			 			1
Mc Gill University, Canada			 			1
McAfee			 			1
McAfee Inc., Alpharetta GA			 			1
McCallum Graduate School, Bentley College, Waltham, MA			 			1
McConnell Brain Imaging Center, MNI, McGill University, Montreal, Canada and Visages, INRIA, INSERM, CNRS, Universit de Rennes 1, Rennes, France			McGill University			1
McConnell Brain Imaging Center, Montreal Neurological Institute, McGill University, Montreal, QC, Canada			McGill University			1
McGill Centre for Intelligent Machines, McGill University, Montreal, Canada			McGill University			1
McGill University and Grenoble Universities and INRIA and LJK-CNRS			McGill University			1
McGill University, Montreal, QC Canada			McGill University			1
McGill University, Montreal, QC, Canada and Computer Laboratory, University of Cambridge, Cambridge, UK			University of Cambridge			1
McGill University, Montréal			McGill University			1
McGill University, Montréal, Que, Canada			McGill University			1
McGill University, Quebec			McGill University			1
McGill University}, Motreal, PQ, Canada			McGill University			1
McMaster University and Curtin University of Technology, Hamilton, ON, Canada			McMaster University			1
McMaster University, Hamilton,			McMaster University			1
McMaster University, Hamilton, Ontario			McMaster University			1
McMaster University, Hamilton, Ontario, Canada			McMaster University			1
MeVis Medical Solutions, Bremen			 			1
MeVis Research, Bremen			 			1
Measurement Factory			 			1
Mechanical and Systems Research Laboratories, Industrial Technology Research Institute, Hsinchu, Taiwan			 			1
MedStar Institute for Innovation, Columbia, WA, USA			 			1
Media Coding Laboratory, Dig, Media & Communications R&D Center, Samsung Electronics Comp. Ltd., Gyeonggi-Do, Republic of Korea and Division of Elect. Eng., Sch. of Elect. Eng. and Comp. Sci., Kor ...			 			1
Media Division, Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore			 			1
Media Lab, Massachusetts Institute of Technology, Cambridge, MA			Massachusetts Institute of Technology			1
Media Laboratory, Massachusetts Institute of Technology, Cambridge			Massachusetts Institute of Technology			1
Media Network Services, Norway and Department of Informatics, University of Oslo, Oslo, Norway and Simula Research Laboratory, Lysaker, Norway			University of Oslo			1
Media Processing Group, Ittiam Systems, Ltd., Bangalore, India			 			1
Media Processing Lab, Sony Electronics, San Jose, CA and Department of Electrical and Computer Engineering, University of Illinois at Urbana-Champaign, Urbana, IL			University of Illinois at Urbana-Champaign			1
Media6Degrees, New York, NY, USA			 			1
Media6degrees, New York, USA			 			1
MediaTek Inc., Hsinchu			 			1
MediaTek Inc., Taipei			 			1
MediaTek, Inc., Hsinchu, Taiwan, R.O.C.			 			1
Mediatek, Hsinchu, Taiwan and Sharp Laboratories of America, Camas, WA			 			1
Medical College of Georgia, Atlanta			 			1
Medical College of Georgia, Augusta, GA			 			1
Medical Data Services/Biostatistics, Boehringer-Ingelheim Pharma Gmbh & Co. KG, Biberach, Germany			 			1
Medical Device Safety Institute, Beth Israel Deaconess Medical Center, and Harvard Medical School, Boston, MA, USA			 			1
Medical Image Analysis Lab, Simon Fraser University, Burnaby, BC, Canada			Simon Fraser University			1
Medical Imaging and Image Processing Lab, Nile University, Cairo, Egypt			 			1
Medical Informatics Service, Geneva University and Hospitals, Geneva, Switzerland			 			1
Medical Informatics and Computer Science Laboratory, Integrated Research Centre, University Campus Bio-Medico of Rome, Via Alvaro del Portillo, 21, 00128 Roma, Italy			 			1
Medical University Vienna, Austria			University of Vienna			1
Medical University of South Carolina			 			1
Meijo University, 1-501 Shiogamaguchi, Tenpaku-ku, Nagoya 468-8502, Japan			 			1
Melbourne, Australia			 			1
Mellon University, Pittsburgh, PA			University of Pittsburgh			1
Member of the Editorial Board, JACM			 			1
Memorial U. of Newfoundland, St. John's, NF, Canada			 			1
Memorial Univ. of Newfoundland, Canada			 			1
Memorial University of Newfoundland, Canada			 			1
Memorial University of Newfoundland, St. John's			 			1
Memorial University of Newfoundland, St. John's, Newfoundland and Labrador, Canada			 			1
Memorial University of Newfoundland, St. John's, Newfoundland, Canada			 			1
Memorial University of Newfoundland, St. John's, Newfoundland, Canada A1B 3X5			 			1
MentalProof Software GmbH in Berlin, Germany			 			1
Mentor Graphics Corp.			 			1
Mentor Graphics Egypt, Cairo, Egypt			 			1
Mentor Graphics, Taipei, Taiwan			 			1
Mepco Schlenk Engineering College			 			1
Meraka Insitute, CSIR, and School of Computer Science, University of Kwazulu-Natal, South Africa			 			1
Meraka Institute, CSIR, South Africa			 			1
Meraka Institute, CSIR, South Africa and School of Computer Science, University of Kwazulu-Natal, South Africa			 			1
Meraki, San Francisco, CA and University of Texas at Austin, Austin, TX			University of Texas at Austin			1
Mercer Human Resource Consulting			 			1
Merck and Co, Inc, West Point, PA			 			1
Meridian Vision, Princeton, NJ, USA			 			1
Meru Networks			 			1
MeshIntelligence Inc., Ottawa			Intel			1
Method R Corporation			 			1
MetriQ Limited, Auckland			 			1
Metso Automation Inc., Finland			 			1
Mia-Software, Nantes, France			 			1
Miami Children's Hospital, Miami, Florida, United States of America. redmond111@aol.com			 			1
Miami Dade College			 			1
Miami University, Miami, OH			 			1
Michigan State Univeristy, East Lansing, MI, USA			 			1
Michigan State University , East Lansing, MI, USA			Michigan State University			1
Michigan State University, Ann Arbor, Michigan, USA			Michigan State University			1
Michigan State University, Lansing, MI			Michigan State University			1
Michigan State University, Lansing, MI, USA			Michigan State University			1
Michigan State University, MI			Michigan State University			1
Michigan State University, Michigan, USA			Michigan State University			1
Michigan Technical University, Houghton			 			1
Micorosoft Research, Redmond, WA, USA			 			1
Micorsoft Research, Redmond, WA, USA			 			1
Micosoft Coporation, Redmond, USA			 			1
Micro Devices			 			1
MicroStrategy, McLean, VA			 			1
Microelectronics Advanced Research Corporation			 			1
Microelectronics Technology Inc., Hsinchu			 			1
Micron Technology, Inc., San Jose, USA			 			1
Microsft Research Ltd., Cambridge, United Kingdom			 			1
Microsoft  Corp., Redmond, WA			Microsoft			1
Microsoft AdCenter Labs 1, Redmond			Microsoft			1
Microsoft AdCenter Labs, Redmond, WA, USA			Microsoft			1
Microsoft Adavanced Technology Center, Beijing, China			Microsoft			1
Microsoft Adv. Tech. Center, Beijing, China			Microsoft			1
Microsoft Advanced Technology Center , Beijing, China			Microsoft			1
Microsoft Bing, Beijing, China			Microsoft			1
Microsoft Center for Software Excellence, Redmond, WA, USA			Microsoft			1
Microsoft China R&D Group, Beijing			Microsoft			1
Microsoft China Research and Development Group			Microsoft			1
Microsoft China Research and Development Group, Beijing, China			Microsoft			1
Microsoft China Research, Beijing, China			Microsoft			1
Microsoft Corp, Redmond, USA			Microsoft			1
Microsoft Corp., One Microsoft Way, Redmond, WA 98052. asurna@microsoft.com			Microsoft			1
Microsoft Corp., One Microsoft Way, Redmond, WA 98052. cesarg@microsoft.com			Microsoft			1
Microsoft Corp., One Microsoft Way, Redmond, WA 98052. pzabback@microsoft.com			Microsoft			1
Microsoft Corp., One Microsoft Way, Redmond, WA 98052. sgukal@microsoft.com			Microsoft			1
Microsoft Corp., One Microsoft Way, Redmond, WA 98052. shwang@microsoft.com			Microsoft			1
Microsoft Corp., One Microsoft Way, Redmond, WA 98052. stevhe@microsoft.com			Microsoft			1
Microsoft Corp., One Microsoft Way, Redmond, WA 98052. torsteng@microsoft.com			Microsoft			1
Microsoft Corp., One Microsoft Way, Redmond, WA 98052. weiyu@microsoft.com			Microsoft			1
Microsoft Corp., One Microsoft Way, Redmond, WA 98052. xinzh@microsoft.com			Microsoft			1
Microsoft Corporation Microsoft Corporation			Microsoft			1
Microsoft Corporation USA. rsinha@microsoft.com			Microsoft			1
Microsoft Corporation and Oregon State University, Redmond, WA, USA			Oregon State University			1
Microsoft Corporation, 1 Microsoft Way, Redmond, WA 98052, USA			Microsoft			1
Microsoft Corporation, 1 Microsoft Way, Redmond, WA, USA. anilnori@microsoft.com			Microsoft			1
Microsoft Corporation, 1 Microsoft Way, Redmond, WA, USA. pablo.castro@microsoft.com			Microsoft			1
Microsoft Corporation, Bellevue, WA, USA			Microsoft			1
Microsoft Corporation, Dana Point			Microsoft			1
Microsoft Corporation, Haifa, Israel			Microsoft			1
Microsoft Corporation, Munich, Germany			Microsoft			1
Microsoft Corporation, One Microsoft Way, Redmond, WA 98052, USA. philbe@microsoft.com			Microsoft			1
Microsoft Corporation, One Microsoft Way, Redmond, WA 98052-6399, USA			Microsoft			1
Microsoft Corporation, One Microsoft Way, Redmond, WA, 			Microsoft			1
Microsoft Corporation, Redmond, USA			Microsoft			1
Microsoft Corporation, Redmond, USA. angelsa@microsoft.com			Microsoft			1
Microsoft Corporation, Redmond, Washington			Microsoft			1
Microsoft Corporation, Redmond, Washington, USA			Microsoft			1
Microsoft Corporation, Seattle			Microsoft			1
Microsoft Corporation, Seattle, WA			Microsoft			1
Microsoft Corporation, Shanghai			Microsoft			1
Microsoft Corporation, Shanghai, China			Microsoft			1
Microsoft Corporation, USA			Microsoft			1
Microsoft Corporation, USA, Seattle, USA			Microsoft			1
Microsoft FUSE Labs, Redmond, WA, USA			Microsoft			1
Microsoft Global Services Automation, Redmond, WA			Microsoft			1
Microsoft Inc., Madison, WI			Microsoft			1
Microsoft Inc., Madison, WI, USA			Microsoft			1
Microsoft India Development Center, Hyderabad, India			Microsoft			1
Microsoft India R&D Pvt. Ltd., Hyderabad, India			Microsoft			1
Microsoft India R&D, Hyderabad, India			Microsoft			1
Microsoft Israel R&D Center & Technion-IIT			Microsoft			1
Microsoft Israel R&D Center and Technion, IIT			Microsoft			1
Microsoft Live Labs			Microsoft			1
Microsoft Live Labs Research, Redmond, USA			Microsoft			1
Microsoft Live Search, Redmond, WA, Uganda			Microsoft			1
Microsoft MSN			Microsoft			1
Microsoft R&D Center and Technion, Haifa, Israel			Microsoft			1
Microsoft R&D Center, Israel, Israel			Microsoft			1
Microsoft R&D Israel and Technion TCE Center			Microsoft			1
Microsoft R&D Israel and the Technion, Haifa, Israel			Microsoft			1
Microsoft R&D, Israel			Microsoft			1
Microsoft Res., Redmond, WA, USA			Microsoft			1
Microsoft Research & Massachusetts Institute of Technology, Cambridge, Massachusetts, USA			Massachusetts Institute of Technology			1
Microsoft Research & Queen Mary, University of London, Cambridge, United Kingdom			Queen Mary, University of London			1
Microsoft Research , Cambridge, United Kingdom			Microsoft			1
Microsoft Research , Redmond, WA, USA			Microsoft			1
Microsoft Research - New England Campus, Cambridge, MA, USA			Microsoft			1
Microsoft Research - Silicon Valey, Mountain View, CA			Microsoft			1
Microsoft Research - Silicon Valley & Weizmann Institute of Science, Mountain view, CA, USA			Weizmann Institute of Science			1
Microsoft Research - Silicon Valley Campus, Mountain View, CA			Microsoft			1
Microsoft Research - Silicon Valley Lab, Mountain View, CA, USA			Microsoft			1
Microsoft Research -- Silicon Valley, Mountain View, California			Microsoft			1
Microsoft Research --- New England Campus, Cambridge, MA, USA			Microsoft			1
Microsoft Research Advanced Technology Center, Beijing, China			Microsoft			1
Microsoft Research Aisa, Beijing			Microsoft			1
Microsoft Research Aisa, Beijing, China			Microsoft			1
Microsoft Research Aisa, and Coordinated Science Laboratory, University of Illinois Urbana-Champaign, Urbana, IL			University of Illinois at Urbana-Champaign			1
Microsoft Research Asia and South East University, Beijing, China			Microsoft			1
Microsoft Research Asia and Tsinghua University, Beijing			Tsinghua University			1
Microsoft Research Asia, Beijing 10080, China			Microsoft			1
Microsoft Research Asia, Beijing, China and Institute of Computing Technology, Beijing, China			Microsoft			1
Microsoft Research Asia, Beijing, China and National University of Singapore, Singapore, Singapore			National University of Singapore			1
Microsoft Research Asia, Beijing, China and Tsinghua University, Beijing, China			Tsinghua University			1
Microsoft Research Asia, Beijing, China and University of Edinburgh, Edinburgh, Scotland, U.K.			University of Edinburgh			1
Microsoft Research Asia, Beijing, P. R. China and Chinese Academy of Science, Beijing, China			Microsoft			1
Microsoft Research Asia, Beijing, P. R. China and Tsinghua University, Beijing, P.R. china			Tsinghua University			1
Microsoft Research Asia, Beijing, RI, USA			Microsoft			1
Microsoft Research Asia, Haidian, Beijing, China			Microsoft			1
Microsoft Research Asia, MSRA, 5/F, Beijing Sigma Center, 49 Zhichun Road, Haidian District, Beijing 100190, PR China			Microsoft			1
Microsoft Research Asia, MSRA, 5/F, Beijing Sigma Center, 49 Zhichun Road, Haidian District, Beijing 100190, PR China and Department of Computer Science, The University of Hong Kong, Hong Kong, Ch ...			University of Hong Kong			1
Microsoft Research Asia, No. 49 ZhiChun Road, Beijing 100080, China			Microsoft			1
Microsoft Research Asia, Sigma Building, Zhichun Road #49, Haidian District, Beijing 100190, PR China			Microsoft			1
Microsoft Research Asia, Zhichun Road #49, Haidian District, Beijing 100190, PR China			Microsoft			1
Microsoft Research Asia, beijing, China			Microsoft			1
Microsoft Research Asia; Harbin Institute of Technology, Beijing, China			Harbin Institute of Technology			1
Microsoft Research Cambridge Cambridge, UK			Microsoft			1
Microsoft Research Cambridge, Cambridge, England, UK			Microsoft			1
Microsoft Research Cambridge, Cambridge, U.K			Microsoft			1
Microsoft Research Cambridge, Cambridge, U.K.			Microsoft			1
Microsoft Research Cambridge, Cambridge, UNK, United Kingdom			Microsoft			1
Microsoft Research India, Bangalore			Microsoft			1
Microsoft Research India, Bangalore, India 560 080			Microsoft			1
Microsoft Research India, Sadashiv Nagar, Bangalore, India			Microsoft			1
Microsoft Research Labs			Microsoft			1
Microsoft Research Labs, Cambridge, UK			Microsoft			1
Microsoft Research Labs., India, Bangalore, India			Microsoft			1
Microsoft Research Ltd., Cambridge, U.K.			Microsoft			1
Microsoft Research Ltd., Cambridge, United Kingdom			Microsoft			1
Microsoft Research New England			Microsoft			1
Microsoft Research New England and Massachusetts Institute of Technology			Massachusetts Institute of Technology			1
Microsoft Research New England, 02142, Cambridge, MA, USA			Microsoft			1
Microsoft Research Redmond, USA			Microsoft			1
Microsoft Research SVC, Mountain View, CA, USA			Microsoft			1
Microsoft Research Search Labs, Mountain View			Microsoft			1
Microsoft Research Silicon Valley and Cornell University			Cornell University			1
Microsoft Research Silicon Valley and Massachusetts Institute of Technology			Massachusetts Institute of Technology			1
Microsoft Research Silicon Valley,			Microsoft			1
Microsoft Research Silicon Valley, Mountain View, USA 94043			Microsoft			1
Microsoft Research U.K, Cambridge, United Kingdom			Microsoft			1
Microsoft Research and Live Labs			Microsoft			1
Microsoft Research and UC Berkeley			University of California, Berkeley			1
Microsoft Research and USC Annenberg School			University of Southern California			1
Microsoft Research and University of Calgary			University of Calgary			1
Microsoft Research and University of California at Santa Cruz, Santa Cruz, CA			University of California, Santa Cruz			1
Microsoft Research and University of Cambridge			University of Cambridge			1
Microsoft Research and University of Illinois at Urbana-Champaign			University of Illinois at Urbana-Champaign			1
Microsoft Research and University of North Carolina at Chapel Hill			University of North Carolina, Chapel Hill			1
Microsoft Research and University of Texas at Austin, Austin, USA			University of Texas at Austin			1
Microsoft Research and University of Toronto			University of Toronto			1
Microsoft Research and Weizmann Institute			Microsoft			1
Microsoft Research at Cambridge, Cambridge, United Kngdm			Microsoft			1
Microsoft Research in Cambridge, U.K. and Oxford University			Microsoft			1
Microsoft Research in Cambridge, U.K. and University of Nottingham, U.K.			The University of Nottingham			1
Microsoft Research in Redmond, WA.			Microsoft			1
Microsoft Research in San Francisco, CA			Microsoft			1
Microsoft Research, Bangalore			Microsoft			1
Microsoft Research, Beijing, China			Microsoft			1
Microsoft Research, Beijing, China and Massachusettes Institute of Technology, Cambridge, Massachusetts, USA			Microsoft			1
Microsoft Research, Beijing, China and Peking University, Beijing, China			Peking University			1
Microsoft Research, Boston, MA, USA			Microsoft			1
Microsoft Research, Cambridge UK			Microsoft			1
Microsoft Research, Cambridge, Great Britain			Microsoft			1
Microsoft Research, Cambridge, MA			Microsoft			1
Microsoft Research, Extreme Computing Group			Microsoft			1
Microsoft Research, India, Bangalore			Microsoft			1
Microsoft Research, India, Bangalore, India			Microsoft			1
Microsoft Research, La Avenida Mountain View, CA			Microsoft			1
Microsoft Research, Microsoft Corporation, Redmond, USA 98052			Microsoft			1
Microsoft Research, Microsoft Corporation, Redmond, USA 98052-6339			Microsoft			1
Microsoft Research, Microsoft, Cairo, Egypt			Microsoft			1
Microsoft Research, Microsoft, Inc., Redmond, WA and University of Washington, Seattle, WA			University of Washington			1
Microsoft Research, Microsoft, Inc., Redmond, WA, and University of Auckland, Auckland, NZ			The University of Auckland			1
Microsoft Research, Microsoft, Inc., Redmond, WA, and University of Washington, Seattle, WA			University of Washington			1
Microsoft Research, Microsoft, Redmond, WA			Microsoft			1
Microsoft Research, Mountain View, CA and Institute of Theoretical Computer Science, ETH Zurich, Zurich, Switzerland			ETH Zurich			1
Microsoft Research, Mountain View, California, USA			Microsoft			1
Microsoft Research, Mountian View, CA			Microsoft			1
Microsoft Research, New England Campus, Cambridge, USA			Microsoft			1
Microsoft Research, New England, USA			Microsoft			1
